Timestamp,E_plus_445LVU_HS--o-_Avg1,E_plus_445LVU_HS--u-_Avg1,E_plus_413TU_HSS-m-_Avg1
2023-08-12 08:20:00+00:00,-8.8577613232,-8.5907577028,22.9645690918
2023-08-12 08:30:00+00:00,-8.8918152417,-8.6153234513,22.9734554291
2023-08-12 08:40:00+00:00,-8.9501115632,-8.6505645458,22.9837207794
2023-08-12 08:50:00+00:00,-8.9777260997,-8.6742433843,22.9953975677
2023-08-12 09:00:00+00:00,-9.0089160212,-8.7017100973,23.0088558197
2023-08-12 09:10:00+00:00,-9.0770238582,-8.7342812083,23.0237827301
2023-08-12 09:20:00+00:00,-9.1473951912,-8.7719474793,23.0398769379
2023-08-12 09:30:00+00:00,-9.2177572862,-8.8076782188,23.0570526123
2023-08-12 09:40:00+00:00,-9.3328347732,-8.8861149613,23.0752410889
2023-08-12 09:50:00+00:00,-9.3952977582,-8.9324425083,23.0947628021
2023-08-12 10:00:00+00:00,-9.4292546777,-8.9561028708,23.1158370972
2023-08-12 10:10:00+00:00,-9.4996491057,-9.0020239303,23.138507843
2023-08-12 10:20:00+00:00,-9.5453761517,-9.0428821783,23.1623573303
2023-08-12 10:30:00+00:00,-9.5904195237,-9.0764418173,23.1867923737
2023-08-12 10:40:00+00:00,-9.6293792077,-9.1199007638,23.2112674713
2023-08-12 10:50:00+00:00,-9.6181541697,-9.1347104248,23.2352485657
2023-08-12 11:00:00+00:00,-9.5631699192,-9.1028645588,23.2583560944
2023-08-12 11:10:00+00:00,-9.5374354707,-9.0945820563,23.2799777985
2023-08-12 11:20:00+00:00,-9.4769634297,-9.0576317923,23.2992591858
2023-08-12 11:30:00+00:00,-9.4370382972,-9.0390850658,23.3154430389
2023-08-12 11:40:00+00:00,-9.4035987522,-9.0282249443,23.328168869
2023-08-12 11:50:00+00:00,-9.3606987667,-9.0048278803,23.3375358582
2023-08-12 12:00:00+00:00,-9.3075714937,-8.9703027928,23.3438148499
2023-08-12 12:10:00+00:00,-9.2754299962,-8.9524073918,23.3468399048
2023-08-12 12:20:00+00:00,-9.2328856892,-8.9222660608,23.3467407227
2023-08-12 12:30:00+00:00,-9.2161774642,-8.9123852603,23.3438129425
2023-08-12 12:40:00+00:00,-9.2532062512,-8.9292412933,23.3392238617
2023-08-12 12:50:00+00:00,-9.2800447337,-8.9498113123,23.3337955475
2023-08-12 13:00:00+00:00,-9.3048414632,-8.9705522343,23.3291625977
2023-08-12 13:10:00+00:00,-9.3167547942,-8.9803960983,23.3263263702
